brand,engine_type,gearbox,mileage,model,price,url,year
volkswagen,,manuelle,92282,golf,13280,"/Voiture/Volkswagen-Golf-1.0-TSI-COMFORTLINE/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384525345.html",2017
audi,,automatique,225000,a6,4500,"/Voiture/Audi-Verkaufe-Audi-A6-S6/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384525344.html",2005
citroen,essence,automatique,120000,c3,1650,"/Voiture/Citro%C3%ABn-Citroen-C3-Cabrio-Pluriel-T%C3%BCv-02-2026/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384525343.html",2009
opel,essence,manuelle,216500,insignia,4490,"/Voiture/Opel-Opel-Insignia-Sport-Tourer-CDTi-2.0/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384525341.html",2010
opel,essence,manuelle,250000,insignia,650,"/Voiture/Skoda-SKODA-FABIA-1.2-Verliert-%C3%96L...-T%C3%BCV/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384525340.html",2006
opel,essence,manuelle,181240,vito,6300,"/Voiture/Mercedes-Benz-Mercedes-Benz-Vito-Mixto-T%C3%BCv-07/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384525338.html",2008
peugeot,,manuelle,260000,,700,"/Voiture/Peugeot-Peugeot-306-Kombi/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384525434.html",2002
ford,,manuelle,165000,focus,2999,"/Voiture/Ford-Ford-Focus-T%C3%BCv-Neu/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384525431.html",2007
volkswagen,essence,manuelle,195000,passat,5400,"/Voiture/Volkswagen-Vw-Passat-cc-1.8-Benzin/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384525430.html",2009
volkswagen,essence,manuelle,106000,passat,9850,"/Voiture/Autres-ABARTH-595-500/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384525429.html",2008
