brand,engine_type,gearbox,mileage,model,price,url,year
Citroën,Essence,Manuelle,16852,C3,18162,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-shine-yvelines-france-1202956890,2023
Citroën,Essence,Automatique,2284,C4,29250,https://www.spoticar.fr/voitures-occasion/citroen-c4-puretech-130-eat8-max-yvelines-france-1202956887,2023
Peugeot,Essence,Automatique,4163,5008,39050,https://www.spoticar.fr/voitures-occasion/peugeot-5008-puretech-130ch-ss-eat8-gt-yvelines-france-1202956881,2023
Peugeot,Diesel,Automatique,1460,3008,35877,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956877,2023
Citroën,Essence,Automatique,3044,C5,32999,https://www.spoticar.fr/voitures-occasion/citroen-c5-aircross-puretech-130-ss-eat8-feel-pack-yvelines-france-1202956880,2023
Peugeot,Essence,Manuelle,9097,208,21450,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-bvm6-allure-pack-yvelines-france-1202956875,2023
Peugeot,Diesel,Automatique,3108,5008,38250,https://www.spoticar.fr/voitures-occasion/peugeot-5008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956872,2023
Peugeot,Essence,Manuelle,1896,208,22300,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-bvm6-allure-pack-yvelines-france-1202956870,2023
Peugeot,Diesel,Automatique,2573,5008,45750,https://www.spoticar.fr/voitures-occasion/peugeot-5008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956873,2023
Citroën,Essence,Automatique,1475,C3,25450,https://www.spoticar.fr/voitures-occasion/citroen-c3-aircross-puretech-130-ss-eat6-shine-yvelines-france-1202956862,2023
Peugeot,Diesel,Automatique,5779,3008,35374,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956868,2023
Citroën,Essence,Automatique,2330,C3,21988,https://www.spoticar.fr/voitures-occasion/citroen-yvelines-france-1202956871,2023
