brand,engine_type,gearbox,mileage,model,price,url,year
audi,diesel,automatique,14107,q3,42500,"/Voiture/Audi-AUDI-Q3-II-2018-Q3-35-2.0-tdi-S-Line/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384529217.html",2021
,diesel,manuelle,129000,,3500,"/Voiture/MINI-Mini-Mini-1.4-tdi-One-D-solo-130-mila-km/vhc:car,pgn:15,pgs:10,dmg:false/pg:vipcar/384529154.html",2007
ford,diesel,automatique,53045,mondeo,24900,"/Voiture/Ford-Mondeo-Turnier-2.0-Vignale-LED-Navi-StHz/vhc:car,pgn:15,pgs:10,dmg:false/pg:vipcar/384529153.html",2019
,diesel,manuelle,136727,,13900,"/Voiture/Nissan-Nissan-Juke-1.5-dCi-S-S-N-Connecta/vhc:car,pgn:13,pgs:10,dmg:false/pg:vipcar/384529172.html",2016
ford,essence,manuelle,167212,fiesta,1900,"/Voiture/Ford-Fiesta-1,3-55-kW-Fun-T%C3%BCvNEU-Klima-8-x/vhc:car,pgn:13,pgs:10,dmg:false/pg:vipcar/384529170.html",2006
opel,essence,manuelle,2500,crossland,22250,"/Voiture/Opel-Crossland-1.2-Enjoy-LED-LENKRAD-SHZ/vhc:car,pgn:13,pgs:10,dmg:false/pg:vipcar/376122295.html",2023
volkswagen,diesel,manuelle,242150,golf,7500,"/Voiture/Volkswagen-VW-Golf-7-VII-Variant-1.6-TDI/vhc:car,pgn:16,pgs:10,dmg:false/pg:vipcar/384529144.html",2014
bmw,diesel,manuelle,290000,fiesta,7200,"/Voiture/BMW-Bmw-e46-330D-Cabrio-Sehr-guter-Zustand/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384529198.html",2005
volkswagen,essence,manuelle,220000,fiesta,1500,"/Voiture/Volkswagen-Vw-Lupo-1.0-50PS-Vieles-Neu-.-Neu/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384529197.html",1999
bmw,diesel,automatique,8750,x1,41850,"/Voiture/BMW-BMW-X1-sD.18d-M-Sp.-360Head-Up-Ind.Storm/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384529231.html",2023
ford,essence,manuelle,99000,fiesta,3999,"/Voiture/Ford-Ford-Fiesta-,1-Hand,-99000-km/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384529253.html",2012
mercedes,diesel,automatique,254368,gle,12900,"/Voiture/Mercedes-Benz-Mercedes-Benz-Classe-E-220-CDI/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384529279.html",2009
volkswagen,essence,automatique,87000,polo,8690,"/Voiture/Volkswagen-Polo-V-Comfortline,1/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/383747954.html",2010
volkswagen,essence,manuelle,270488,polo,1000,"/Voiture/Volkswagen-Volkswagen-Polo/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384529265.html",2002
toyota,diesel,manuelle,298138,corolla,2000,"/Voiture/Toyota-Toyota-Corolla-2,0L-Diesel-T%C3%9CV-NEU-auf/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384529264.html",2002
audi,hybride,automatique,36457,q3,51900,"/Voiture/Mercedes-Benz-Mercedes-Benz-Classe-C-W206/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384529216.html",2022
opel,diesel,automatique,203000,crossland,10505,"/Voiture/Volvo-Volvo-XC60-D5-2.4D-Allrad-163PS-Summum/vhc:car,pgn:13,pgs:10,dmg:false/pg:vipcar/384529169.html",2010
